,fire_name,fire_size,fire_size_class,stat_cause_descr,fips_name,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,remoteness,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
5011,,7.0,B,Debris Burning,,38.2797,-82.9028,KY,1999-03-21,,Mar,,,,1999-02-19,1999,Feb,724236,84558.29507486435,3889,1973,2020,0,0.1,724236-03889-1999.gz,65762.83187528,2.637861271676298,3.102923976608188,5.384897959183673,12.306387921022075,3.2525048169556388,3.466471734892768,3.507346938775524,2.8718931475028793,69.25049701789261,66.5346938775509,62.81250000000004,59.48902439024391,101.39999999999998,46.0,22.6,47.1
5012,BLIND FIRE,0.8,B,Miscellaneous,Muhlenberg,37.23766,-87.16541,KY,2012-06-28,,Jun,2012-06-28 07:30:00,,,2012-05-29,2012,May,999999,24251.032566906342,421,2010,2014,0,0.1,999999-73801-2012.gz,67995.2243337937,25.851863425925927,27.620787037037015,29.098462301587304,27.95629629629631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5013,FY2002-FLOYD-016,91.0,C,Arson,Floyd,34.1388,-85.397,GA,2001-10-31,2001-10-31,Oct,2001-10-31 15:05:00,2001-10-31 15:05:00,0 days 00:00:00.000000000,2001-10-01,2001,Oct,723200,31587.432280495243,99999,1990,2020,16,1.0,723200-99999-2001.gz,67184.40419488997,15.326449275362307,12.963461538461537,11.98917525773196,0.0,3.150107526881713,3.006220095693789,3.220175438596491,0.0,52.797413793103445,46.08173076923077,42.513274336283175,0.0,76.49999999999997,2.2,1.6,0.0
5014,SWR-20141101-001,90.0,C,Miscellaneous,Washington,31.209619,-88.27035699999998,AL,2014-11-01,2014-11-01,Nov,,,0 days 00:00:00.000000000,2014-10-02,2014,Oct,722230,57877.97704351134,13894,1990,2020,12,1.0,722230-13894-2014.gz,68796.76451847561,19.66613704071502,17.50321888412016,17.792207792207797,0.0,2.5007968127489746,2.1360515021459308,2.06796536796537,0.0,72.60283687943274,70.33333333333333,72.69696969696973,0.0,154.00000000000003,0.6,0.6,0.0
5015,LIMEKILN,4.0,B,Debris Burning,,47.1222,-109.3507,MT,1995-06-05,1995-06-06,Jun,1995-06-05 21:20:00,1995-06-06 02:00:00,1 days 00:00:00.000000000,1995-05-06,1995,May,726776,11515.653542793954,24036,1991,2005,15,0.1,726776-24036-1995.gz,79824.72218458001,9.763496503496505,10.96675977653629,15.676047904191604,17.013636363636362,3.7290909090908864,3.4175977653631304,3.175449101796411,2.872727272727273,57.79580419580421,52.910614525139664,48.8323353293413,56.90909090909091,387.0,1.0,1.0,0.0
5016,,0.71,B,Debris Burning,Berrien,31.22761117,-83.2960525,GA,2007-04-13,,Apr,,,,2007-03-14,2007,Mar,747810,30312.677780832237,99999,2006,2020,12,0.1,747810-13857-2007.gz,66220.227891347,17.134274193548386,17.649019607843112,14.7262443438914,20.656521739130433,2.6956653225806084,3.1239651416121954,3.2334841628959397,3.1910179640718104,67.22887700534751,63.2599118942731,56.9181818181818,62.19157894736847,2.5999999999999996,0.3,0.0,16.2
5017,,2.0,B,Arson,,32.3547,-85.8578,AL,1998-03-28,,Mar,,,,1998-02-26,1998,Feb,722265,46428.513968121035,13821,1948,2020,12,0.1,722265-13821-1998.gz,67492.97923328,13.228832951945078,14.185882352941176,14.300578034682077,18.782503037667045,4.414874141876381,4.117176470588234,4.435260115606946,3.968286755771531,68.41271676300578,68.28941176470585,59.90751445086704,67.62606577344695,192.0,22.2,0.0,78.49999999999999
5018,IRON PEAK LIGHTNING 2    ,1.0,B,Lightning,,39.80305555,-123.47611111,CA,2008-06-21,,Jun,,,,2008-05-22,2008,May,725900,53618.357933196756,99999,1985,2010,0,0.1,File Not Found,88142.44481291846,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5019,,3.0,B,Children,Hampton,32.85832998,-80.95834001,SC,2003-12-31,,Dec,,,,2003-12-01,2003,Dec,723115,66171.40172710986,99999,1999,2005,12,0.1,723115-99999-2003.gz,64958.81552368762,6.39192399049881,7.0349999999999975,8.733695652173918,5.521739130434782,2.230522565320659,2.092500000000007,1.80163043478261,0.6043478260869566,68.62427745664739,65.82857142857142,70.11834319526632,59.9,50.39999999999999,4.6,3.5999999999999996,0.0
5020,,10.0,C,Miscellaneous,Henderson,32.12708,-95.83542,TX,1998-08-19,,Aug,,,,1998-07-20,1998,Jul,722448,47896.268545836276,13972,1973,2010,12,1.0,722448-99999-1998.gz,72769.95895819279,30.672131147540984,28.625,28.475609756097562,27.794451450189154,3.4249544626593567,2.881730769230778,2.628048780487802,3.48259773013869,57.35555555555557,68.7638190954774,70.20987654320987,66.17507418397632,3.6,3.6,0.0,78.10000000000001
